Ont	Terms	Annotated	Significant	Expected	classic	Genes
CC	GO:0000151:Ubiquitin ligase complex	80	11	0.87	5.8e-10	APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,DOC1
CC	GO:0008540:Proteasome regulatory particle, base subcomplex	13	6	0.14	2.1e-09	RPN1,RPN10,RPN2,RPT1,RPT3,RPT6
CC	GO:0005671:Ada2/Gcn5/Ada3 transcription activator complex	7	5	0.08	2.7e-09	ADA2,GCN5,HFI1,NGG1,SGF29
CC	GO:0046540:U4/U6 x U5 tri-snRNP complex	33	7	0.36	4.4e-08	LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8
CC	GO:0097526:Spliceosomal tri-snRNP complex	33	7	0.36	4.4e-08	LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8
CC	GO:1902562:H4 histone acetyltransferase complex	23	6	0.25	1.1e-07	ADA2,GCN5,HFI1,NGG1,SGF29,TRA1
CC	GO:0031595:Nuclear proteasome complex	7	4	0.08	4.4e-07	RPN5,RPT1,RPT3,RPT6
CC	GO:0000932:Cytoplasmic mRNA processing body	50	7	0.55	8.9e-07	DCP1,LSM1,LSM2,LSM3,LSM4,LSM6,PAT1
CC	GO:0097525:Spliceosomal snRNP complex	64	7	0.7	4.9e-06	LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8
CC	GO:0030532:Small nuclear ribonucleoprotein complex	67	7	0.73	6.7e-06	LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8
CC	GO:0044446:Intracellular organelle part	2914	48	31.84	6.8e-06	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,CFT1,CFT2,DOC1,FIP1,GCN5,GLC7,HFI1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPN5,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
CC	GO:0044422:Organelle part	2919	48	31.9	7.3e-06	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,CFT1,CFT2,DOC1,FIP1,GCN5,GLC7,HFI1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPN5,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
CC	GO:0005829:Cytosol	859	22	9.39	4.9e-05	CDC16,CDC26,GCN5,MPE1,PAT1,PTI1,REF2,RNA14,RPN1,RPN10,RPN11,RPN13,RPN2,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6,SGF73,SPT3,YTH1
CC	GO:0005681:Spliceosomal complex	95	7	1.04	6.7e-05	LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8
CC	GO:0044445:Cytosolic part	256	11	2.8	8.0e-05	PAT1,RPN1,RPN11,RPN13,RPN2,RPN5,RPN6,RPN8,RPT1,RPT3,RPT6
CC	GO:0043231:Intracellular membrane-bounded organelle	4029	55	44.02	0.00013	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,CFT1,CFT2,DCP1,DOC1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPN1,RPN10,RPN11,RPN13,RPN2,RPN5,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
CC	GO:0043227:Membrane-bounded organelle	4032	55	44.06	0.00013	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,CFT1,CFT2,DCP1,DOC1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPN1,RPN10,RPN11,RPN13,RPN2,RPN5,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
CC	GO:0035770:Ribonucleoprotein granule	125	7	1.37	0.00038	DCP1,LSM1,LSM2,LSM3,LSM4,LSM6,PAT1
CC	GO:0036464:Cytoplasmic ribonucleoprotein granule	125	7	1.37	0.00038	DCP1,LSM1,LSM2,LSM3,LSM4,LSM6,PAT1
CC	GO:0071011:Precatalytic spliceosome	16	3	0.17	0.00063	LSM2,LSM3,LSM8
CC	GO:0005732:Small nucleolar ribonucleoprotein complex	107	6	1.17	0.00101	LSM2,LSM3,LSM4,LSM5,LSM6,LSM7
CC	GO:0043229:Intracellular organelle	4356	55	47.6	0.00420	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,CFT1,CFT2,DCP1,DOC1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPN1,RPN10,RPN11,RPN13,RPN2,RPN5,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
CC	GO:0043226:Organelle	4358	55	47.62	0.00428	ADA2,APC1,APC11,APC2,APC4,APC5,APC9,CDC16,CDC23,CDC26,CDC27,CFT1,CFT2,DCP1,DOC1,FIP1,GCN5,GLC7,HFI1,LSM1,LSM2,LSM3,LSM4,LSM5,LSM6,LSM7,LSM8,MPE1,NGG1,PAP1,PAT1,PFS2,PTA1,PTI1,REF2,RNA14,RPN1,RPN10,RPN11,RPN13,RPN2,RPN5,RPT1,RPT3,RPT6,SGF11,SGF29,SGF73,SPT20,SPT3,SPT7,SPT8,TRA1,YSH1,YTH1
CC	GO:0071013:Catalytic step 2 spliceosome	34	3	0.37	0.00583	LSM2,LSM3,LSM7
